time,count
2017-11-13-00:00:0,9862
2017-11-13-00:01:0,10340
2017-11-13-00:02:0,8981
2017-11-13-00:03:0,9077
2017-11-13-00:04:0,8717
2017-11-13-00:05:0,8206
2017-11-13-00:06:0,7692
2017-11-13-00:07:0,8369
2017-11-13-00:08:0,9906
2017-11-13-00:09:0,10694
2017-11-13-00:10:0,9846
2017-11-13-00:11:0,11152
2017-11-13-00:12:0,10174
2017-11-13-00:13:0,12002
2017-11-13-00:14:0,9367
2017-11-13-00:15:0,9039
2017-11-13-00:16:0,9026
2017-11-13-00:17:0,8578
2017-11-13-00:18:0,8732
2017-11-13-00:19:0,7793
2017-11-13-00:20:0,7752
2017-11-13-00:21:0,7771
2017-11-13-00:22:0,8787
2017-11-13-00:23:0,7465
2017-11-13-00:24:0,7322
2017-11-13-00:25:0,6886
2017-11-13-00:26:0,6536
2017-11-13-00:27:0,7502
2017-11-13-00:28:0,7865
2017-11-13-00:29:0,7078
2017-11-13-00:30:0,7332
2017-11-13-00:31:0,7464
2017-11-13-00:32:0,6444
2017-11-13-00:33:0,7316
2017-11-13-00:34:0,7334
2017-11-13-00:35:0,8269
2017-11-13-00:36:0,6976
2017-11-13-00:37:0,6116
2017-11-13-00:38:0,6029
2017-11-13-00:39:0,6589
2017-11-13-00:40:0,4921
2017-11-13-00:41:0,6049
2017-11-13-00:42:0,4764
2017-11-13-00:43:0,4061
2017-11-13-00:44:0,5226
2017-11-13-00:45:0,6908
2017-11-13-00:46:0,6083
2017-11-13-00:47:0,5160
2017-11-13-00:48:0,5265
2017-11-13-00:49:0,5552
2017-11-13-00:50:0,5387
2017-11-13-00:51:0,4986
2017-11-13-00:52:0,5107
2017-11-13-00:53:0,6389
2017-11-13-00:54:0,4936
2017-11-13-00:55:0,4567
2017-11-13-00:56:0,4984
2017-11-13-00:57:0,4174
2017-11-13-00:58:0,4382
2017-11-13-00:59:0,4737
2017-11-13-01:00:0,5056
2017-11-13-01:01:0,5068
2017-11-13-01:02:0,4733
2017-11-13-01:03:0,5949
2017-11-13-01:04:0,5033
2017-11-13-01:05:0,4843
2017-11-13-01:06:0,3291
2017-11-13-01:07:0,4448
2017-11-13-01:08:0,5342
2017-11-13-01:09:0,4659
2017-11-13-01:10:0,4530
2017-11-13-01:11:0,3555
2017-11-13-01:12:0,4048
2017-11-13-01:13:0,3849
2017-11-13-01:14:0,3099
2017-11-13-01:15:0,3777
2017-11-13-01:16:0,4028
2017-11-13-01:17:0,5553
2017-11-13-01:18:0,3980
2017-11-13-01:19:0,5437
2017-11-13-01:20:0,4828
2017-11-13-01:21:0,3676
2017-11-13-01:22:0,3685
2017-11-13-01:23:0,3830
2017-11-13-01:24:0,3675
2017-11-13-01:25:0,2682
2017-11-13-01:26:0,3742
2017-11-13-01:27:0,3301
2017-11-13-01:28:0,4752
2017-11-13-01:29:0,3687
2017-11-13-01:30:0,3179
2017-11-13-01:31:0,2784
2017-11-13-01:32:0,3226
2017-11-13-01:33:0,2692
2017-11-13-01:34:0,2998
2017-11-13-01:35:0,4680
2017-11-13-01:36:0,3780
2017-11-13-01:37:0,3296
2017-11-13-01:38:0,3840
2017-11-13-01:39:0,2793
2017-11-13-01:40:0,2871
2017-11-13-01:41:0,3726
2017-11-13-01:42:0,3501
2017-11-13-01:43:0,3056
2017-11-13-01:44:0,3306
2017-11-13-01:45:0,3714
2017-11-13-01:46:0,2870
2017-11-13-01:47:0,4402
2017-11-13-01:48:0,2904
2017-11-13-01:49:0,3376
2017-11-13-01:50:0,2840
2017-11-13-01:51:0,3263
2017-11-13-01:52:0,3365
2017-11-13-01:53:0,2587
2017-11-13-01:54:0,3332
2017-11-13-01:55:0,3036
2017-11-13-01:56:0,3641
2017-11-13-01:57:0,3252
2017-11-13-01:58:0,3592
2017-11-13-01:59:0,2873
2017-11-13-02:00:0,3051
2017-11-13-02:01:0,3261
2017-11-13-02:02:0,2906
2017-11-13-02:03:0,3468
2017-11-13-02:04:0,2884
2017-11-13-02:05:0,3178
2017-11-13-02:06:0,3760
2017-11-13-02:07:0,2696
2017-11-13-02:08:0,2883
2017-11-13-02:09:0,3042
2017-11-13-02:10:0,2817
2017-11-13-02:11:0,3273
2017-11-13-02:12:0,2695
2017-11-13-02:13:0,2293
2017-11-13-02:14:0,2954
2017-11-13-02:15:0,2539
2017-11-13-02:16:0,2558
2017-11-13-02:17:0,2405
2017-11-13-02:18:0,2375
2017-11-13-02:19:0,2743
2017-11-13-02:20:0,2421
2017-11-13-02:21:0,2969
2017-11-13-02:22:0,2637
2017-11-13-02:23:0,3051
2017-11-13-02:24:0,3288
2017-11-13-02:25:0,3254
2017-11-13-02:26:0,2673
2017-11-13-02:27:0,2649
2017-11-13-02:28:0,1689
2017-11-13-02:29:0,3219
2017-11-13-02:30:0,2139
2017-11-13-02:31:0,2325
2017-11-13-02:32:0,3074
2017-11-13-02:33:0,2086
2017-11-13-02:34:0,2416
2017-11-13-02:35:0,2830
2017-11-13-02:36:0,2013
2017-11-13-02:37:0,2531
2017-11-13-02:38:0,2639
2017-11-13-02:39:0,2661
2017-11-13-02:40:0,3137
2017-11-13-02:41:0,2550
2017-11-13-02:42:0,2712
2017-11-13-02:43:0,2531
2017-11-13-02:44:0,3067
2017-11-13-02:45:0,2511
2017-11-13-02:46:0,2724
2017-11-13-02:47:0,2365
2017-11-13-02:48:0,1433
2017-11-13-02:49:0,3451
2017-11-13-02:50:0,2705
2017-11-13-02:51:0,2554
2017-11-13-02:52:0,2903
2017-11-13-02:53:0,4291
2017-11-13-02:54:0,3435
2017-11-13-02:55:0,3124
2017-11-13-02:56:0,2997
2017-11-13-02:57:0,2769
2017-11-13-02:58:0,2453
2017-11-13-02:59:0,2546
2017-11-13-03:00:0,2450
2017-11-13-03:01:0,2126
2017-11-13-03:02:0,3002
2017-11-13-03:03:0,2658
2017-11-13-03:04:0,1634
2017-11-13-03:05:0,1929
2017-11-13-03:06:0,2167
2017-11-13-03:07:0,1756
2017-11-13-03:08:0,2671
2017-11-13-03:09:0,2452
2017-11-13-03:10:0,2677
2017-11-13-03:11:0,2800
2017-11-13-03:12:0,3376
2017-11-13-03:13:0,2468
2017-11-13-03:14:0,2539
2017-11-13-03:15:0,1928
2017-11-13-03:16:0,2210
2017-11-13-03:17:0,2495
2017-11-13-03:18:0,1936
2017-11-13-03:19:0,2610
2017-11-13-03:20:0,2479
2017-11-13-03:21:0,2170
2017-11-13-03:22:0,2585
2017-11-13-03:23:0,2264
2017-11-13-03:24:0,2936
2017-11-13-03:25:0,2729
2017-11-13-03:26:0,2094
2017-11-13-03:27:0,2856
2017-11-13-03:28:0,2314
2017-11-13-03:29:0,3042
2017-11-13-03:30:0,3133
2017-11-13-03:31:0,2252
2017-11-13-03:32:0,2226
2017-11-13-03:33:0,2589
2017-11-13-03:34:0,2202
2017-11-13-03:35:0,2396
2017-11-13-03:36:0,2571
2017-11-13-03:37:0,2707
2017-11-13-03:38:0,2499
2017-11-13-03:39:0,2492
2017-11-13-03:40:0,2704
2017-11-13-03:41:0,3694
2017-11-13-03:42:0,2656
2017-11-13-03:43:0,2071
2017-11-13-03:44:0,1793
2017-11-13-03:45:0,2443
2017-11-13-03:46:0,2237
2017-11-13-03:47:0,2357
2017-11-13-03:48:0,3310
2017-11-13-03:49:0,2389
2017-11-13-03:50:0,2876
2017-11-13-03:51:0,2626
2017-11-13-03:52:0,2202
2017-11-13-03:53:0,2521
2017-11-13-03:54:0,2329
2017-11-13-03:55:0,2482
2017-11-13-03:56:0,2768
2017-11-13-03:57:0,2140
2017-11-13-03:58:0,2835
2017-11-13-03:59:0,1692
2017-11-13-04:00:0,1551
2017-11-13-04:01:0,2224
2017-11-13-04:02:0,3416
2017-11-13-04:03:0,2786
2017-11-13-04:04:0,2357
2017-11-13-04:05:0,2765
2017-11-13-04:06:0,2884
2017-11-13-04:07:0,2876
2017-11-13-04:08:0,3672
2017-11-13-04:09:0,2595
2017-11-13-04:10:0,3087
2017-11-13-04:11:0,2814
2017-11-13-04:12:0,2087
2017-11-13-04:13:0,2745
2017-11-13-04:14:0,3037
2017-11-13-04:15:0,2858
2017-11-13-04:16:0,2892
2017-11-13-04:17:0,2908
2017-11-13-04:18:0,2289
2017-11-13-04:19:0,2907
2017-11-13-04:20:0,2833
2017-11-13-04:21:0,3512
2017-11-13-04:22:0,3418
2017-11-13-04:23:0,3659
2017-11-13-04:24:0,2347
2017-11-13-04:25:0,3417
2017-11-13-04:26:0,2301
2017-11-13-04:27:0,3042
2017-11-13-04:28:0,3182
2017-11-13-04:29:0,3666
2017-11-13-04:30:0,2657
2017-11-13-04:31:0,2455
2017-11-13-04:32:0,2278
2017-11-13-04:33:0,3603
2017-11-13-04:34:0,2778
2017-11-13-04:35:0,3080
2017-11-13-04:36:0,2704
2017-11-13-04:37:0,3079
2017-11-13-04:38:0,3145
2017-11-13-04:39:0,3507
2017-11-13-04:40:0,4338
2017-11-13-04:41:0,3412
2017-11-13-04:42:0,3015
2017-11-13-04:43:0,2715
2017-11-13-04:44:0,3919
2017-11-13-04:45:0,3366
2017-11-13-04:46:0,2936
2017-11-13-04:47:0,3783
2017-11-13-04:48:0,2961
2017-11-13-04:49:0,3247
2017-11-13-04:50:0,2814
2017-11-13-04:51:0,3461
2017-11-13-04:52:0,3200
2017-11-13-04:53:0,2581
2017-11-13-04:54:0,3491
2017-11-13-04:55:0,2989
2017-11-13-04:56:0,2994
2017-11-13-04:57:0,2977
2017-11-13-04:58:0,3414
2017-11-13-04:59:0,3835
2017-11-13-05:00:0,3734
2017-11-13-05:01:0,3896
2017-11-13-05:02:0,3143
2017-11-13-05:03:0,3484
2017-11-13-05:04:0,3987
2017-11-13-05:05:0,3246
2017-11-13-05:06:0,3886
2017-11-13-05:07:0,3900
2017-11-13-05:08:0,5841
2017-11-13-05:09:0,4940
2017-11-13-05:10:0,5272
2017-11-13-05:11:0,3749
2017-11-13-05:12:0,4340
2017-11-13-05:13:0,4978
2017-11-13-05:14:0,4513
2017-11-13-05:15:0,4005
2017-11-13-05:16:0,6035
2017-11-13-05:17:0,4594
2017-11-13-05:18:0,4970
2017-11-13-05:19:0,5505
2017-11-13-05:20:0,4165
2017-11-13-05:21:0,5611
2017-11-13-05:22:0,5384
2017-11-13-05:23:0,5599
2017-11-13-05:24:0,5396
2017-11-13-05:25:0,5439
2017-11-13-05:26:0,4444
2017-11-13-05:27:0,4918
2017-11-13-05:28:0,5662
2017-11-13-05:29:0,5772
2017-11-13-05:30:0,5895
2017-11-13-05:31:0,5306
2017-11-13-05:32:0,5447
2017-11-13-05:33:0,5447
2017-11-13-05:34:0,5620
2017-11-13-05:35:0,6559
2017-11-13-05:36:0,7067
2017-11-13-05:37:0,6687
2017-11-13-05:38:0,6695
2017-11-13-05:39:0,7682
2017-11-13-05:40:0,7691
2017-11-13-05:41:0,6667
2017-11-13-05:42:0,7112
2017-11-13-05:43:0,7798
2017-11-13-05:44:0,7489
2017-11-13-05:45:0,8202
2017-11-13-05:46:0,7614
2017-11-13-05:47:0,6745
2017-11-13-05:48:0,6663
2017-11-13-05:49:0,7551
2017-11-13-05:50:0,7328
2017-11-13-05:51:0,6560
2017-11-13-05:52:0,8478
2017-11-13-05:53:0,7656
2017-11-13-05:54:0,7638
2017-11-13-05:55:0,7769
2017-11-13-05:56:0,9039
2017-11-13-05:57:0,8975
2017-11-13-05:58:0,8859
2017-11-13-05:59:0,8263
2017-11-13-06:00:0,8383
2017-11-13-06:01:0,8629
2017-11-13-06:02:0,11230
2017-11-13-06:03:0,9814
2017-11-13-06:04:0,11533
2017-11-13-06:05:0,9826
2017-11-13-06:06:0,10997
2017-11-13-06:07:0,8439
2017-11-13-06:08:0,9436
2017-11-13-06:09:0,11685
2017-11-13-06:10:0,12669
2017-11-13-06:11:0,12447
2017-11-13-06:12:0,10899
2017-11-13-06:13:0,12388
2017-11-13-06:14:0,12445
2017-11-13-06:15:0,10551
2017-11-13-06:16:0,14538
2017-11-13-06:17:0,11951
2017-11-13-06:18:0,14206
2017-11-13-06:19:0,12170
2017-11-13-06:20:0,11802
2017-11-13-06:21:0,13393
2017-11-13-06:22:0,12382
2017-11-13-06:23:0,10994
2017-11-13-06:24:0,13755
2017-11-13-06:25:0,11990
2017-11-13-06:26:0,11647
2017-11-13-06:27:0,15176
2017-11-13-06:28:0,14215
2017-11-13-06:29:0,15050
2017-11-13-06:30:0,14665
2017-11-13-06:31:0,14794
2017-11-13-06:32:0,14518
2017-11-13-06:33:0,14327
2017-11-13-06:34:0,16507
2017-11-13-06:35:0,16750
2017-11-13-06:36:0,19377
2017-11-13-06:37:0,15317
2017-11-13-06:38:0,17030
2017-11-13-06:39:0,15432
2017-11-13-06:40:0,16191
2017-11-13-06:41:0,17168
2017-11-13-06:42:0,18958
2017-11-13-06:43:0,16731
2017-11-13-06:44:0,16309
2017-11-13-06:45:0,17768
2017-11-13-06:46:0,16491
2017-11-13-06:47:0,17888
2017-11-13-06:48:0,17626
2017-11-13-06:49:0,18934
2017-11-13-06:50:0,19992
