time,count
2017-11-24-00:00:0,12171
2017-11-24-00:01:0,13653
2017-11-24-00:02:0,10496
2017-11-24-00:03:0,12366
2017-11-24-00:04:0,10518
2017-11-24-00:05:0,11430
2017-11-24-00:06:0,11656
2017-11-24-00:07:0,10973
2017-11-24-00:08:0,10205
2017-11-24-00:09:0,10771
2017-11-24-00:10:0,10851
2017-11-24-00:11:0,11111
2017-11-24-00:12:0,12141
2017-11-24-00:13:0,12644
2017-11-24-00:14:0,9465
2017-11-24-00:15:0,10026
2017-11-24-00:16:0,9717
2017-11-24-00:17:0,8348
2017-11-24-00:18:0,8755
2017-11-24-00:19:0,8521
2017-11-24-00:20:0,9301
2017-11-24-00:21:0,8350
2017-11-24-00:22:0,9198
2017-11-24-00:23:0,9385
2017-11-24-00:24:0,8218
2017-11-24-00:25:0,7753
2017-11-24-00:26:0,7417
2017-11-24-00:27:0,7486
2017-11-24-00:28:0,7758
2017-11-24-00:29:0,7810
2017-11-24-00:30:0,6802
2017-11-24-00:31:0,6732
2017-11-24-00:32:0,6403
2017-11-24-00:33:0,7324
2017-11-24-00:34:0,6449
2017-11-24-00:35:0,6481
2017-11-24-00:36:0,7628
2017-11-24-00:37:0,7503
2017-11-24-00:38:0,7976
2017-11-24-00:39:0,6924
2017-11-24-00:40:0,7091
2017-11-24-00:41:0,7143
2017-11-24-00:42:0,5636
2017-11-24-00:43:0,6011
2017-11-24-00:44:0,6767
2017-11-24-00:45:0,7459
2017-11-24-00:46:0,6690
2017-11-24-00:47:0,6210
2017-11-24-00:48:0,6190
2017-11-24-00:49:0,6591
2017-11-24-00:50:0,5613
2017-11-24-00:51:0,5918
2017-11-24-00:52:0,5539
2017-11-24-00:53:0,5572
2017-11-24-00:54:0,5245
2017-11-24-00:55:0,4962
2017-11-24-00:56:0,4795
2017-11-24-00:57:0,5244
2017-11-24-00:58:0,5906
2017-11-24-00:59:0,5090
2017-11-24-01:00:0,5376
2017-11-24-01:01:0,5374
2017-11-24-01:02:0,4391
2017-11-24-01:03:0,5972
2017-11-24-01:04:0,5035
2017-11-24-01:05:0,4662
2017-11-24-01:06:0,5796
2017-11-24-01:07:0,4673
2017-11-24-01:08:0,4557
2017-11-24-01:09:0,5706
2017-11-24-01:10:0,4678
2017-11-24-01:11:0,4640
2017-11-24-01:12:0,5258
2017-11-24-01:13:0,4734
2017-11-24-01:14:0,4706
2017-11-24-01:15:0,4085
2017-11-24-01:16:0,4163
2017-11-24-01:17:0,5029
2017-11-24-01:18:0,4548
2017-11-24-01:19:0,3955
2017-11-24-01:20:0,3880
2017-11-24-01:21:0,4689
2017-11-24-01:22:0,5000
2017-11-24-01:23:0,4767
2017-11-24-01:24:0,4106
2017-11-24-01:25:0,4695
2017-11-24-01:26:0,4076
2017-11-24-01:27:0,4063
2017-11-24-01:28:0,4191
2017-11-24-01:29:0,2952
2017-11-24-01:30:0,3383
2017-11-24-01:31:0,3733
2017-11-24-01:32:0,4177
2017-11-24-01:33:0,4637
2017-11-24-01:34:0,3613
2017-11-24-01:35:0,3808
2017-11-24-01:36:0,4141
2017-11-24-01:37:0,3997
2017-11-24-01:38:0,3681
2017-11-24-01:39:0,3017
2017-11-24-01:40:0,2873
2017-11-24-01:41:0,3061
2017-11-24-01:42:0,3414
2017-11-24-01:43:0,3845
2017-11-24-01:44:0,3714
2017-11-24-01:45:0,3968
2017-11-24-01:46:0,3771
2017-11-24-01:47:0,3479
2017-11-24-01:48:0,3632
2017-11-24-01:49:0,4625
2017-11-24-01:50:0,3757
2017-11-24-01:51:0,3960
2017-11-24-01:52:0,3338
2017-11-24-01:53:0,3734
2017-11-24-01:54:0,3922
2017-11-24-01:55:0,3171
2017-11-24-01:56:0,3129
2017-11-24-01:57:0,2917
2017-11-24-01:58:0,3138
2017-11-24-01:59:0,2864
2017-11-24-02:00:0,3246
2017-11-24-02:01:0,3608
2017-11-24-02:02:0,3538
2017-11-24-02:03:0,3480
2017-11-24-02:04:0,3972
2017-11-24-02:05:0,3873
2017-11-24-02:06:0,3317
2017-11-24-02:07:0,3810
2017-11-24-02:08:0,3508
2017-11-24-02:09:0,3467
2017-11-24-02:10:0,3526
2017-11-24-02:11:0,3707
2017-11-24-02:12:0,3241
2017-11-24-02:13:0,2886
2017-11-24-02:14:0,3636
2017-11-24-02:15:0,3629
2017-11-24-02:16:0,3494
2017-11-24-02:17:0,3729
2017-11-24-02:18:0,4440
2017-11-24-02:19:0,3360
2017-11-24-02:20:0,3518
2017-11-24-02:21:0,3241
2017-11-24-02:22:0,2902
2017-11-24-02:23:0,3316
2017-11-24-02:24:0,3823
2017-11-24-02:25:0,3149
2017-11-24-02:26:0,2682
2017-11-24-02:27:0,3408
2017-11-24-02:28:0,2489
2017-11-24-02:29:0,3176
2017-11-24-02:30:0,3632
2017-11-24-02:31:0,3335
2017-11-24-02:32:0,3010
2017-11-24-02:33:0,2782
2017-11-24-02:34:0,2690
2017-11-24-02:35:0,2654
2017-11-24-02:36:0,2927
2017-11-24-02:37:0,2966
2017-11-24-02:38:0,3298
2017-11-24-02:39:0,3448
2017-11-24-02:40:0,3608
2017-11-24-02:41:0,2853
2017-11-24-02:42:0,3004
